Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Search Intent,Funnel Stage
home cleaning services charges,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
whole house cleaner,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
city commercial cleaning,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning industrial,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
top rated house cleaning services,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
house cleaner required,PKR,50.0,0.0,0.0,High,71.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning employees,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
maid service reviews,PKR,50.0,0.0,0.0,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
our maids,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
small cleaning company,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office cleaning items list,PKR,50.0,0.0,0.0,Low,27.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
interior cleaning service,PKR,50.0,0.0,0.0,Low,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
services of cleaning company,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
homecleaners,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
home maid service cost,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
outside glass cleaning,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
new cleaning company,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaner near,PKR,50.0,,,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep cleaning tasks,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office cleaning list,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house keeping website,PKR,50.0,0.0,0.0,Medium,36.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
all clean janitorial services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
price for cleaning,PKR,50.0,0.0,,Medium,36.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
about cleaning company,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
a1 cleaning company,PKR,50.0,0.0,0.0,Low,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
for house cleaning,PKR,50.0,,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial cleaning list,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
maid pricing,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
basic cleaning services list,PKR,50.0,,,Low,21.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
chair washing service,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning tank services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep cleaning services description,PKR,50.0,,,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep cleaning house includes,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
i need cleaner,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
request for cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
home cleaning charges,PKR,50.0,0.0,0.0,Low,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
your cleaning service,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
description cleaning services,PKR,50.0,0.0,0.0,Low,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
types of industrial cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa dry cleaning machine,PKR,50.0,0.0,0.0,High,71.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
premium house cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
best sofa dry cleaners near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
cleaning company ad,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
maid and cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
home cleaning online,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial janitorial cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
complete house cleaning near me,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
house cleaning and sanitizing services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa washing price,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
bathroom deep cleaners near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep cleaning house list,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial cleaning schedule,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
list of cleaning companies,PKR,50.0,,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sofa cleaning services cost,PKR,50.0,,,Low,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office cleaning products list,PKR,50.0,0.0,0.0,Low,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
mall cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
for carpet cleaning,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning by me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
machine for sofa cleaning,PKR,50.0,0.0,0.0,Low,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
ever clean services,PKR,50.0,0.0,,Low,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
office cleaning blog,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
person cleaning house,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet cleaning blogs,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning solution company,PKR,50.0,,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning service tools,PKR,50.0,,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
tank cleaner services near me,PKR,50.0,0.0,0.0,Low,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
corporate commercial cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sofa cleaning at home price,PKR,50.0,,0.0,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning workers near me,PKR,50.0,,,Medium,33.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
may cleaning services,PKR,50.0,,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
help maid cleaning services,PKR,50.0,0.0,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
elite maid services,PKR,50.0,0.0,,High,93.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning machinery list,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
list for house cleaner,PKR,50.0,0.0,0.0,Low,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning place near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sofa vacuum cleaner near me,PKR,50.0,0.0,,Medium,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
online water tank cleaning services,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep office cleaning services,PKR,50.0,0.0,0.0,Low,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
hospital cleaning service providers,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house cleaning staff,PKR,50.0,0.0,0.0,High,93.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleanliness cleaning service,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
recommended house cleaners,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
wet sofa cleaning machine,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
success cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
management cleaning service,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
expert home cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid house cleaner,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
deep cleaning services charges,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
doorstep cleaning services,PKR,50.0,,0.0,Medium,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet cleaning carpet cleaning,PKR,50.0,0.0,0.0,Low,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaner fees,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office cleaning janitorial services,PKR,50.0,,,Medium,38.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best quality cleaning services,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
standard cleaning service,PKR,50.0,0.0,0.0,Low,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaner on call,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
spot cleaning services,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
home cleaning services reviews,PKR,50.0,0.0,0.0,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
simple cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house cleaning requirements,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office cleaning services price list,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa set washing,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office building cleaning companies,PKR,50.0,0.0,0.0,High,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cherry cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
elite house cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa set cleaning machine,PKR,50.0,0.0,0.0,Medium,50.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
safai wala near me,PKR,50.0,0.0,0.0,High,67.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sofa scrubbing machine,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
difference between janitorial and cleaning services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa cleaning process,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
in house cleaner,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
dirt cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
house cleaning tasks,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
mattress cleaning services at home,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best office cleaning,PKR,50.0,,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
best maids building cleaning,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
at carpet cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office cleaning tasks,PKR,50.0,,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
workers for home cleaning,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
industrial water tank cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial cleaning services company,PKR,50.0,,0.0,Medium,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid it cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
business and office cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep clean janitorial services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet cleaning services reviews,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
sofa cleaning services at home,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa carpet cleaning machine,PKR,50.0,0.0,0.0,Medium,43.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet cleaning and upholstery cleaning,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning equipment for solar panels,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
sweeper cleaning services,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet scrubbing,PKR,50.0,,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
list of cleaning items for office,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
office maid service near me,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa fabric cleaner machine,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning company mission,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
staff for cleaning,PKR,50.0,0.0,0.0,Low,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
unique house cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
general commercial cleaning,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
home office cleaning services,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
all home cleaning services,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
aroma cleaning,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
as cleaning service,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
best logo for cleaning company,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
best water tank cleaning services,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Commercial,MOFU (Consideration)
car cleaning service karachi,PKR,50.0,0.0,0.0,Low,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
car interior cleaning in karachi,PKR,50.0,0.0,0.0,Low,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
car interior cleaning services karachi,PKR,50.0,0.0,0.0,Low,23.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
car wash service at home in karachi,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
car wash service at home karachi,PKR,50.0,0.0,0.0,Medium,39.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
car wash service in karachi,PKR,50.0,0.0,0.0,Low,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet and house cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet cleaning cleaning,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet cleaning services in karachi,PKR,50.0,0.0,0.0,Low,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet cleaning upholstery cleaning,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet shampooing process,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
carpet sofa cleaning machine,PKR,50.0,0.0,0.0,Medium,57.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
city cleaning service,PKR,50.0,0.0,0.0,Low,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
clean house solutions,PKR,50.0,,,Low,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
clean it cleaning services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
clean sofa with vacuum cleaner,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
clean sweep cleaners,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
clean sweep commercial services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
clean sweep office cleaning,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaner worker,PKR,50.0,0.0,0.0,Low,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaners cleaning,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning company blog,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning company salary,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning company vision,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning form,PKR,50.0,0.0,0.0,Low,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning items list for office,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning list for cleaner,PKR,50.0,0.0,,Low,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning list for maid,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning ltd,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning sector,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
cleaning service before and after,PKR,50.0,0.0,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning service post,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services company logo,PKR,50.0,0.0,0.0,Low,17.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services ltd,PKR,50.0,,0.0,Low,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services market,PKR,50.0,-100.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services mission and vision,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning sofa with vacuum cleaner,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial cleaning and sanitizing services,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial cleaning means,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
commercial cleaning services blog,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial cleaning services logo,PKR,50.0,-100.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial janitorial service companies,PKR,50.0,,,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
commercial sanitization services,PKR,50.0,0.0,-100.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cost of daily maid service,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
deep cleaning logo,PKR,50.0,0.0,0.0,Low,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
detail clean service,PKR,50.0,0.0,0.0,Low,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
detail house cleaning list,PKR,50.0,0.0,0.0,Unknown,,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
dry wash sofa,PKR,50.0,0.0,0.0,Low,22.0,0.0,0.0,,,,,,,,,,,,,,,,,,Informational,TOFU (Awareness)
